lmdn	lmdp
-5.749658	-4.480731
-5.730123	-4.529349
-5.725369	-4.527897
-5.755308	-4.51792
-5.794301	-4.478946
-5.830799	-4.439792
-5.765564	-4.513458
-5.832016	-4.437456
-5.885138	-4.400037
-5.93874	-4.343377
-5.893921	-4.384693
-5.90295	-4.337689
-5.967534	-4.283313
-5.970209	-4.370556
-5.916913	-4.438654
-5.810186	-4.500719
-5.922481	-4.308688
-5.931357	-4.248573
-5.852891	-4.352363
-5.859854	-4.404211
-5.897073	-4.366956
-5.960958	-4.2895
-5.907722	-4.415209
-5.86311	-4.412614
-5.916122	-4.344069
-5.897863	-4.361942
-5.882778	-4.372553
-5.754303	-4.56155
-5.863502	-4.368193
-5.891417	-4.444919
-5.890774	-4.390172
-5.945882	-4.339405
-5.839979	-4.443479
-5.811008	-4.432157
-5.803583	-4.492012
-5.868098	-4.371896
-5.827206	-4.410965
-5.811249	-4.414669
-5.82862	-4.486129
-5.802785	-4.562424
-5.822428	-4.457342
-5.851851	-4.43707
-5.850745	-4.48114
-5.900665	-4.343343
-5.882897	-4.405011
-5.957763	-4.343792
-5.9044	-4.26179
-5.861611	-4.350403
-5.844822	-4.405156
-5.842579	-4.487406
-5.838739	-4.458918
-5.948559	-4.364998
-5.814397	-4.457482
-5.854717	-4.488333
-5.887088	-4.413076
-5.846494	-4.390775
-5.843087	-4.352162
-5.816989	-4.418798
-5.909904	-4.339266
-5.871783	-4.44047
-5.717793	-4.589704
-5.803467	-4.449312
-5.764369	-4.475223
-5.761821	-4.615632
-5.790956	-4.473758
-5.857057	-4.351765
-5.929798	-4.333652
-5.789376	-4.545333
-5.955522	-4.357635
-5.873048	-4.44063
-5.910289	-4.338536
-5.900929	-4.388149
-5.788442	-4.485733
-5.833012	-4.398659
-5.804258	-4.447957
-5.944706	-4.288561
-5.807129	-4.463411
-5.896288	-4.399917
-5.88162	-4.39578
-5.835607	-4.45393
-5.77524	-4.603558
-5.869601	-4.488118
-5.775674	-4.527364
-5.877986	-4.391778
-5.882453	-4.403577
-5.806246	-4.465664
-5.837306	-4.487665
-5.814757	-4.470685
-5.934568	-4.308036
-5.851699	-4.441874
-5.934757	-4.32073
-5.849478	-4.3769
-5.82728	-4.427888
-5.784195	-4.488689
-5.937108	-4.34012
-5.901174	-4.358973
-5.927224	-4.318927
-6.027186	-4.229783
-5.872779	-4.374584
-5.968273	-4.297052
-5.909783	-4.361062
-5.810226	-4.439836
-5.843974	-4.366206
-5.86582	-4.392598
-5.847557	-4.360574
