isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	EHFB
True	2e-06	33.689996	1e-06	1.229194	0.0	0.49289	1e-06	0.159472	-1886.973127
True	2e-06	33.588108	0.0	1.219969	0.0	0.494168	0.0	0.160046	-1891.699981
True	1e-06	33.313896	2e-06	1.247	0.0	0.394278	0.0	0.140721	-1887.734952
True	1e-06	33.088715	0.0	1.251902	0.0	0.350311	0.0	0.125611	-1887.212074
True	1e-06	33.491851	0.0	1.281332	0.0	0.369538	0.0	0.131882	-1888.218341
True	2e-06	33.897756	0.0	1.289393	0.0	0.414844	0.0	0.141236	-1888.753091
True	2e-06	32.92345	0.0	1.240492	0.0	0.338917	0.0	0.123505	-1889.16816
True	0.0	33.69239	1e-06	1.274375	0.0	0.41397	0.0	0.140408	-1887.928164
True	1e-06	32.67358	1e-06	1.248216	0.0	0.294385	0.0	0.112149	-1888.326946
True	2e-06	34.028578	5e-06	1.31165	0.0	0.416493	0.0	0.146452	-1888.643469
True	1e-06	34.131597	7e-06	1.314968	1e-06	0.422648	0.0	0.149457	-1888.412011
True	1e-06	33.839397	2e-06	1.297431	0.0	0.40783	0.0	0.146954	-1888.604331
True	0.0	33.683955	4e-06	1.28601	0.0	0.389908	0.0	0.135561	-1888.388081
True	0.0	33.904267	6e-06	1.289593	0.0	0.423534	1e-06	0.140191	-1889.722969
True	2e-06	33.927321	6e-06	1.307862	0.0	0.390799	1e-06	0.131759	-1889.106214
True	4e-06	33.712142	7e-06	1.263322	1e-06	0.42475	0.0	0.142568	-1889.408204
True	2e-06	33.807793	6e-06	1.304254	0.0	0.384547	1e-06	0.140664	-1887.975399
True	0.0	33.760563	2e-06	1.276675	0.0	0.427058	0.0	0.153706	-1888.177149
True	3e-06	33.527062	2e-06	1.281279	0.0	0.380006	0.0	0.139469	-1887.274032
True	2e-06	33.449148	4e-06	1.284325	0.0	0.36821	0.0	0.134299	-1889.657432
True	2e-06	34.123036	2e-06	1.298472	0.0	0.439702	0.0	0.152539	-1888.274942
True	3e-06	33.664557	2e-06	1.298661	0.0	0.357871	1e-06	0.124803	-1888.237421
True	0.0	33.833066	3e-06	1.29135	0.0	0.397942	0.0	0.133556	-1888.417214
True	1e-06	33.737499	2e-06	1.323969	0.0	0.355206	0.0	0.129061	-1887.919545
True	1e-06	33.421642	3e-06	1.2994	0.0	0.330464	0.0	0.120298	-1887.912081
True	3e-06	33.900375	1e-06	1.291353	0.0	0.415838	1e-06	0.141964	-1889.015015
True	3e-06	33.812997	2e-06	1.277412	0.0	0.414281	1e-06	0.136558	-1888.29286
True	2e-06	32.708497	1e-06	1.219873	0.0	0.341268	0.0	0.118586	-1889.369135
True	1e-06	33.723435	1e-06	1.270195	0.0	0.425327	0.0	0.142778	-1889.008641
True	1e-06	34.081001	1e-06	1.292234	0.0	0.451543	0.0	0.153062	-1889.46361
True	2e-06	33.716638	0.0	1.306152	0.0	0.36339	0.0	0.128077	-1888.359177
True	1e-06	33.999686	2e-06	1.292524	0.0	0.438686	0.0	0.150431	-1888.789236
True	0.0	33.163477	2e-06	1.258332	0.0	0.360181	0.0	0.129058	-1889.217754
True	1e-06	33.470318	1e-06	1.262777	0.0	0.400845	0.0	0.1402	-1888.934251
True	0.0	33.896444	0.0	1.276138	0.0	0.452872	0.0	0.159375	-1888.436894
